new file stream started at 2022-12-03 11:13:00.551794
1 : 2022-12-03 11:13:00.577541 : PASS : 1670019180.577557
2 : 2022-12-03 11:22:24.246846 : PASS : 1670019744.246865
3 : 2022-12-03 12:06:13.179726 : PASS : 1670022373.17975
4 : 2022-12-03 12:06:25.868342 : PASS : 1670022385.868357
5 : 2022-12-03 12:06:29.180253 : PASS : 1670022389.18029
6 : 2022-12-03 12:06:36.556551 : PASS : 1670022396.556575
7 : 2022-12-03 12:07:14.293617 : PASS : 1670022434.293656
8 : 2022-12-03 12:11:28.668063 : PASS : 1670022688.668078
9 : 2022-12-03 12:11:58.583638 : PASS : 1670022718.583653
10 : 2022-12-03 12:12:28.340939 : PASS : 1670022748.340959
11 : 2022-12-05 11:33:09.067002 : PASS : 1670193189.067048
12 : 2022-12-06 22:25:10.731968 : PASS : 1670318710.732015
